SLA_mean,height_mean,flowering_start 1-4,flowering_start 5-6,flowering_start 7-9,flowering duration,1000 S,"LF_Ph (MM, M)",LF_N,LF_Ch,LF_H,LF_G,LF_Th,LF_TH,LF_E,seed disp._AN,seed disp._RW,seed disp._AU,seed disp._ZO,pollination_INS,pollination_WIND,pollination_SELF,reprod_gen,reprod_veg
15.937,40,0,1,0,3,5.2,,1,,,,,,,,,0.5,0.5,1,,,1,
14.967,45,,,,3,5.5,,1,,,,,,,,,0.5,0.5,1,,,1,
14.967,20,1,0,0,2,5.5,,1,,,,,,,,,0.5,0.5,1,,,1,
20.133,85,0,1,0,6,0.758,,,,,,1,,,,,,1,,1,,1,
31.873,40,0,1,0,5,1.391,,,,,,1,,,0.5,,,0.5,,1,,1,
22.193,65,0,1,0,4,0.161,,,,1,,,,,1,,,,1,,,0.67,0.33
16.36966667,90,0,1,0,4,5.2543,,,,1,,,,,,,,1,,1,,0.67,0.33
15.589,40,0,1,0,4,0.3817,,,,1,,,,,0.5,,,0.5,1,,,0.5,0.5
14.758,10,0,0,1,3,4.7692,,,,,1,,,,0.5,,,0.5,1,,,0.5,0.5
13.514,55,0,1,0,5,1.1667,,,,,,1,,,,,1,,1,,,1,
39.137,15,1,0,0,2,15.88,,,,,1,,,,,,,1,0.34,0.33,0.33,0.5,0.5
29.25766667,60,0,1,0,7,10.0507,,,,0.5,0.5,,,,,,,1,0.5,,0.5,0.33,0.67
30.3955,60,0,1,0,4,0.06,,,,,,0.5,0.5,,1,,,,1,,,1,
6.541,25,0,0,1,4,1.8443,,,,,,1,,,1,,,,,,1,1,
6.541,35,0,1,0,5,1.8443,,,,,,1,,,1,,,,,,1,1,
12.58,300,0,1,0,2,66.5007,1,,,,,,,,,,,1,1,,,0.5,0.5
14.1585,350,0,1,0,1,90.0843,1,,,,,,,,,,,1,1,,,1,
20.418,30,0,1,0,3,0.2923,,,,,,1,,,1,,,,1,,,1,
26.336,40,0,1,0,6,0.2583,,,,,,1,,,1,,,,1,,,1,
35.663,17.5,1,0,0,3,0.4427,,,,,,1,,,,,,1,1,,,0.5,0.5
13.691,25,0,1,0,5,0.1137,,,,0.25,0.75,,,,,,,1,,1,,0.33,0.67
26.7995,40,0,1,0,3,27.177,,,,,,,1,,,,,1,0.5,,0.5,1,
22.483,85,0,1,0,6,0.346,,,,1,,,,,,,,1,0.5,0.5,,0.67,0.33
17.611,75,0,1,0,3,1.0103,,,,,,0.5,0.5,,0.5,,,0.5,1,,,1,
21.555,55,1,0,0,4,0.119,,,,,,1,,,0.5,,,0.5,0.5,,0.5,1,
14.531,35,0,1,0,3,0.56,,,,1,,,,,1,,,,1,,,1,
8.90975,32.5,0,1,0,4,0.4487,,,,1,,,,,1,,,,1,,,1,
31,30,1,0,0,3,0.0163,,,,,,1,,,1,,,,0.5,,0.5,1,
6.362,60,0,0,1,4,19.1157,,,,1,,,,,,,,1,1,,,1,
17.543,60,0,1,0,4,2.4303,,,,,,,1,,0.5,,,0.5,1,,,1,
15.291,650,0,1,0,2,111.927,1,,,,,,,,,,,1,1,,,0.5,0.5
17.94866667,75,0,1,0,4,6.2853,,,,,1,,,,,,,1,,1,,0.5,0.5
14.001,75,0,1,0,8,6.9827,,,,,1,,,,,,,1,,1,,0.5,0.5
7.214,27.5,0,1,0,4,10.2656,,1,,,,,,,,,,1,,1,,0.67,0.33
26.415,50,0,1,0,2,0.0046,,,,,1,,,,1,,,,1,,,0.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,
8.718666667,60,0,1,0,3,,,,,,1,,,,1,,,,,1,,0.5,0.5
17.181,52.5,0,1,0,4,0.1133,,,,0.5,,0.5,,,1,,,,1,,,1,
32.603,80,0,1,0,5,0.016,,,,,,1,,,1,,,,1,,,1,
26.15666667,11.5,1,0,0,4,0.0107,,,,,,1,,,0.5,,,0.5,,,1,1,
10.763,37.5,0,1,0,3,1.464,,,,1,,,,,0.5,,,0.5,1,,,1,
19.262,300,0,1,0,2,47.9763,1,,,,,,,,,,,1,1,,,1,
21.91475,27.5,1,0,0,5,2.2653,,,,0.75,0.25,,,,0.25,,0.25,0.5,1,,,0.5,0.5
17.917,25,1,0,0,9,0.862,,,,1,,,,,,,0.5,0.5,1,,,0.5,0.5
